title,latitude,longitude,additional_info
Váraszó,48.05697166797822,20.11150360107422,N/A
Kál-4,47.73632175456112,20.272865295410156,N/A
Kál-3,47.73701444841396,20.27252197265625,N/A
Tarnaörs,47.601533317386924,20.054168701171875,N/A
Szúcs,48.04802140596297,20.247802734375,N/A
Mónosbél,48.039528693690585,20.341873168945312,N/A
Istenmezeje-1,48.11957994755929,20.050048828125,N/A
Heréd,47.714381682734256,19.64252471923828,N/A
Egerbocs,48.026901803890695,20.26325225830078,N/A
Kajárpéc,47.50143120349543,17.626876831054688,N/A
Bakonyszentlászló,47.38789042338135,17.7978515625,N/A
Seregélyes,47.122709424416485,18.558311462402344,N/A
Ráckeresztúr,47.270610294035606,18.8525390625,N/A
Lepsény,46.990323386086374,18.235931396484375,N/A
Lénárddaróc,48.148450372374185,20.370712280273438,N/A
Kissikátor,48.196531677389885,20.126953125,N/A
Tárkány,47.596671663587045,18.00830841064453,N/A
Ózd - Ófalu,48.21712415053673,20.280075073242188,N/A
Ózd - Center,48.260112829241535,20.36865234375,N/A
Hét - Rogonypuszta,48.29096007750144,20.383758544921875,N/A
Mihályfa,46.98259462473493,17.20561981201172,N/A
Keszthely,46.77890345864358,17.237205505371094,N/A
Karmacs,46.829194076477336,17.192916870117188,N/A
Zalavár,46.64731502464258,17.170257568359375,N/A
Zalaszántó,46.88553884493399,17.216949462890625,N/A
Várvölgy,46.887650623636915,17.30072021484375,N/A
Zirc,47.25383472946095,17.881622314453125,N/A
Veszprém-2,47.09163058564968,17.898788452148438,N/A
Veszprém-1,47.08695550650904,17.91217803955078,N/A
Vászoly,46.937136280659246,17.758026123046875,N/A
Várpalota,47.20674157246563,18.12847137451172,N/A
Tótvázsony,47.01186433571726,17.78858184814453,N/A
Tihany,46.9162687555131,17.883682250976562,N/A
Tapolca-2,46.8895276904677,17.448692321777344,N/A
Taliándörögd,46.98001812262336,17.572975158691406,N/A
Szentkirályszabadja,47.060299719543764,17.975006103515625,N/A
Szentantalfa,46.91110923775628,17.671165466308594,N/A
Sümeg,46.99266521436124,17.268447875976562,N/A
Somlóvásárhely,47.124578249690956,17.37213134765625,N/A
Somlószőlős,47.177112073280966,17.35462188720703,N/A
Pápa-3,47.27969483871851,17.526626586914062,N/A
Pápa-2,47.319508663300525,17.482337951660156,N/A
Pápa-1,47.31857768821126,17.475814819335938,N/A
Noszlop,47.179212346171994,17.46723175048828,N/A
Nemesszalók,47.27270686584953,17.300376892089844,N/A
Nemesvámos,47.04860437854606,17.871665954589844,N/A
Nagyvázsony,46.98844984958495,17.693824768066406,N/A
Nagydém,47.44202119732503,17.676315307617188,N/A
Monostorapáti,46.9315098833693,17.545166015625,N/A
Lesenceistvánd,46.880141699426275,17.337112426757812,N/A
Lesencefalu,46.84352064243902,17.335052490234375,N/A
Köveskál,46.881549702774436,17.60009765625,N/A
Kővágóörs,46.84469478175268,17.59906768798828,N/A
Kerta,47.15890622816096,17.275657653808594,N/A
Káptalantóti,46.86042577270689,17.502593994140625,N/A
Kapolcs,46.958464333859325,17.608680725097656,N/A
Herend,47.13649046753255,17.739486694335938,N/A
Felsőörs,47.01982292356524,17.949256896972656,N/A
Dudar,47.30856866998022,17.954063415527344,N/A
Devecser,47.11359796105944,17.445602416992188,N/A
Csögle,47.2216667052995,17.264671325683594,N/A
Csetény,47.31811219451512,18.00830841064453,N/A
Csesznek,47.35208245727003,17.87921905517578,N/A
Csajág,47.04954010021555,18.174476623535156,N/A
Csabrendek,47.0003925196344,17.278060913085938,N/A
